forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-26 15:04:01 UTC,Brazil,G,93.65727,3.15479,0.26042,2.44377,0.3961,0.16013,5.05873,6.02553,0.9668,0.85244,0.1304,0.01599,0.00117,0.98284,0.76081,0.50313,0.36982,0.24698,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Spain,E,91.2188,2.95544,0.34936,2.08946,0.49062,0.41992,8.54757,10.61374,2.06617,0.74684,0.15476,0.09756,0.00084,0.9016,0.66416,0.34994,0.23873,0.14594,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,France,D,89.25241,2.94006,0.46965,2.141,0.51884,0.34016,4.74157,7.31453,2.57296,0.7935,0.17125,0.02093,0.01432,0.96475,0.70309,0.43479,0.24112,0.11967,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Portugal,H,87.30309,2.80698,0.52026,2.01016,0.55531,0.43453,2.24487,6.04921,3.80434,0.66713,0.21114,0.11013,0.0116,0.87827,0.49332,0.28627,0.15809,0.07473,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,England,B,85.40758,2.54769,0.48612,1.5977,1.2588,0.1435,4.98285,7.68675,2.7039,0.82042,0.17859,0.00099,0.0,0.99901,0.60073,0.31028,0.1548,0.06977,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Netherlands,A,84.3837,2.59307,0.56564,1.77761,1.15235,0.07004,3.89738,5.55662,1.65924,0.75793,0.23275,0.00932,0.0,0.99068,0.59594,0.32965,0.12482,0.05887,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Argentina,C,86.09354,2.57779,0.466,1.08313,0.55633,1.36054,0.53599,4.10465,3.56866,0.3283,0.17185,0.23754,0.26231,0.50015,0.31344,0.19304,0.08941,0.04694,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Germany,E,88.72557,3.21022,0.6427,1.09145,0.39316,1.51539,0.71524,4.98146,4.26622,0.03543,0.29207,0.59083,0.08167,0.3275,0.2121,0.11905,0.06803,0.034,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Belgium,F,80.53709,2.52178,0.72241,1.77899,0.56896,0.65205,1.26898,3.74922,2.48024,0.54191,0.23954,0.17118,0.04737,0.78145,0.34171,0.14256,0.06452,0.02461,2022-11-26 15:05:27 UTC
2022-11-26 15:04:01 UTC,Denmark,D,78.86992,2.17826,0.5851,0.75502,1.55063,0.69435,0.1233,2.51178,2.38848,0.17242,0.41297,0.2841,0.13051,0.58539,0.32322,0.16109,0.05936,0.02381,2022-11-26 15:05:27 UTC
