forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-28 17:54:38 UTC,Brazil,G,93.48139,3.0621,0.23656,2.81072,0.15212,0.03716,4.94443,5.25794,0.31351,0.99553,0.00447,0.0,0.0,1.0,0.80316,0.52141,0.38256,0.2525,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Spain,E,90.62031,2.84092,0.33577,1.61503,1.24638,0.13859,8.04894,9.7621,1.71316,0.84917,0.14222,0.00861,0.0,0.99139,0.72396,0.35506,0.23412,0.13681,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,France,D,90.1491,3.03006,0.45553,2.65152,0.23634,0.11214,5.19048,7.78852,2.59804,0.99991,9.0e-05,0.0,0.0,1.0,0.76022,0.4759,0.27552,0.13521,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Portugal,H,87.30309,2.80698,0.52026,2.01833,0.54754,0.43413,2.28369,6.14848,3.86479,0.6891,0.21112,0.05944,0.04034,0.90022,0.52148,0.286,0.15383,0.07171,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,England,B,85.40758,2.54769,0.48612,1.59935,1.25529,0.14536,4.98175,7.6854,2.70365,0.82332,0.17578,0.0009,0.0,0.9991,0.60328,0.29599,0.14598,0.06525,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Argentina,C,86.02625,2.48839,0.42171,1.5784,0.26654,1.15506,1.89923,4.61328,2.71405,0.57334,0.20209,0.2236,0.00097,0.77543,0.49241,0.29648,0.12615,0.06375,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Germany,E,88.86004,3.15327,0.60378,0.80638,1.1426,1.05102,1.01614,4.51838,3.50224,0.0,0.67471,0.13167,0.19362,0.67471,0.4235,0.24503,0.12968,0.06005,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Netherlands,A,84.3837,2.59307,0.56564,1.77845,1.15201,0.06954,3.90993,5.56794,1.65801,0.75994,0.23175,0.00831,0.0,0.99169,0.59726,0.32341,0.12093,0.0562,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Croatia,F,80.87388,2.30506,0.57143,1.38705,1.28724,0.32571,3.13423,5.36883,2.2346,0.54383,0.21565,0.24052,0.0,0.75948,0.31771,0.1412,0.06492,0.02541,2022-11-28 17:56:06 UTC
2022-11-28 17:54:38 UTC,Uruguay,H,79.70107,2.11082,0.5055,0.83821,1.57178,0.59001,0.51811,2.54642,2.02831,0.24846,0.37525,0.24171,0.13458,0.62371,0.23589,0.1081,0.05184,0.02203,2022-11-28 17:56:06 UTC
