stage,ecuAdv,nedAdv,qatAdv,senAdv,engAdv,irnAdv,usaAdv,walAdv,argAdv,mexAdv,polAdv,ksaAdv,ausAdv,denAdv,fraAdv,tunAdv,crcAdv,gerAdv,jpnAdv,espAdv,belAdv,canAdv,croAdv,marAdv,braAdv,cmrAdv,srbAdv,suiAdv,ghaAdv,porAdv,korAdv,uruAdv,ecu1,ned1,qat1,sen1,eng1,irn1,usa1,wal1,arg1,mex1,pol1,ksa1,aus1,den1,fra1,tun1,crc1,ger1,jpn1,esp1,bel1,can1,cro1,mar1,bra1,cmr1,srb1,sui1,gha1,por1,kor1,uru1,ecu2,ned2,qat2,sen2,eng2,irn2,usa2,wal2,arg2,mex2,pol2,ksa2,aus2,den2,fra2,tun2,crc2,ger2,jpn2,esp2,bel2,can2,cro2,mar2,bra2,cmr2,srb2,sui2,gha2,por2,kor2,uru2,ecu3,ned3,qat3,sen3,eng3,irn3,usa3,wal3,arg3,mex3,pol3,ksa3,aus3,den3,fra3,tun3,crc3,ger3,jpn3,esp3,bel3,can3,cro3,mar3,bra3,cmr3,srb3,sui3,gha3,por3,kor3,uru3,ecu4,ned4,qat4,sen4,eng4,irn4,usa4,wal4,arg4,mex4,pol4,ksa4,aus4,den4,fra4,tun4,crc4,ger4,jpn4,esp4,bel4,can4,cro4,mar4,bra4,cmr4,srb4,sui4,gha4,por4,kor4,uru4,ecuWin,nedWin,qatWin,senWin,engWin,irnWin,usaWin,walWin,argWin,mexWin,polWin,ksaWin,ausWin,denWin,fraWin,tunWin,crcWin,gerWin,jpnWin,espWin,belWin,canWin,croWin,marWin,braWin,cmrWin,srbWin,suiWin,ghaWin,porWin,korWin,uruWin
0,0.48209,0.79006,0.21656,0.51129,0.80426,0.34207,0.52953,0.32414,0.83995,0.53636,0.3792,0.24449,0.21617,0.64835,0.82686,0.30862,0.08398,0.76424,0.34492,0.80686,0.624,0.36708,0.54419,0.46473,0.91045,0.19799,0.41295,0.47861,0.18003,0.81087,0.35636,0.65274,0.19014,0.53223,0.06806,0.20957,0.55445,0.1152,0.2214,0.10895,0.59722,0.20717,0.12588,0.06973,0.05911,0.29056,0.55358,0.09675,0.01743,0.40333,0.11084,0.4684,0.35643,0.15388,0.27547,0.21422,0.71639,0.03952,0.10954,0.13455,0.04662,0.53461,0.12062,0.29815,0.29195,0.25783,0.1485,0.30172,0.24981,0.22687,0.30813,0.21519,0.24273,0.32919,0.25332,0.17476,0.15706,0.35779,0.27328,0.21187,0.06655,0.36091,0.23408,0.33846,0.26757,0.2132,0.26872,0.25051,0.19406,0.15847,0.30341,0.34406,0.13341,0.27626,0.23574,0.35459,0.30458,0.14552,0.25634,0.29356,0.12986,0.3076,0.26353,0.29901,0.11295,0.27301,0.31968,0.29436,0.3024,0.22531,0.12328,0.34901,0.22772,0.18128,0.43682,0.15418,0.21261,0.27491,0.2432,0.26928,0.06846,0.29046,0.33362,0.30746,0.28475,0.13468,0.35148,0.22909,0.21333,0.06442,0.5271,0.19515,0.06588,0.35033,0.20694,0.37685,0.0471,0.19063,0.30112,0.46115,0.48143,0.12634,0.04986,0.34237,0.6883,0.05448,0.21826,0.03896,0.16339,0.35801,0.21261,0.26599,0.02109,0.51155,0.25343,0.21393,0.53522,0.05445,0.29216,0.11817,0.01022,0.0596,0.00096,0.01199,0.07136,0.00365,0.01304,0.00345,0.08476,0.01268,0.00463,0.00132,0.00124,0.02842,0.0875,0.00382,0.00032,0.07425,0.00876,0.10663,0.02608,0.0055,0.01702,0.01021,0.21668,0.00167,0.01,0.01455,0.00063,0.07629,0.00449,0.02828
1,0.73696,0.94938,0.04775,0.26591,0.9331,0.24889,0.44884,0.36917,0.54066,0.42644,0.35235,0.68055,0.17073,0.56544,0.9299,0.33393,0.02384,0.32793,0.74613,0.9021,0.77941,0.25848,0.51613,0.44598,0.98349,0.04935,0.2969,0.67026,0.17036,0.87616,0.38664,0.56684,0.25698,0.71232,0.00748,0.02322,0.78495,0.01875,0.11257,0.08373,0.23508,0.2019,0.15536,0.40766,0.01044,0.15307,0.76912,0.06737,0.00118,0.03546,0.21516,0.7482,0.54059,0.05813,0.22433,0.17695,0.85231,0.00441,0.01129,0.13199,0.0144,0.66745,0.11503,0.20312,0.47998,0.23706,0.04027,0.24269,0.14815,0.23014,0.33627,0.28544,0.30558,0.22454,0.19699,0.27289,0.16029,0.41237,0.16078,0.26656,0.02266,0.29247,0.53097,0.1539,0.23882,0.20035,0.2918,0.26903,0.13118,0.04494,0.28561,0.53827,0.15596,0.20871,0.27161,0.36372,0.25169,0.04561,0.21984,0.48286,0.05782,0.24568,0.33529,0.36121,0.22864,0.30673,0.2907,0.17393,0.23643,0.29935,0.06439,0.39983,0.06748,0.58851,0.2469,0.09711,0.17162,0.25522,0.27318,0.29998,0.01552,0.2839,0.39815,0.30243,0.21995,0.11212,0.36974,0.29819,0.01135,0.00501,0.73241,0.25123,0.00908,0.50543,0.21587,0.26962,0.2307,0.26683,0.35695,0.14552,0.59284,0.13521,0.00571,0.26624,0.90868,0.08356,0.00697,0.00079,0.04897,0.4863,0.21069,0.25404,0.00099,0.66675,0.30495,0.02731,0.60969,0.01172,0.24362,0.13497,0.01584,0.07245,0.00023,0.00581,0.07118,0.0022,0.00809,0.00435,0.04724,0.00897,0.00452,0.00288,0.00117,0.0229,0.11092,0.00432,0.00002,0.03269,0.01433,0.14587,0.02415,0.00427,0.01684,0.00904,0.2476,0.00061,0.00672,0.01659,0.0005,0.07188,0.00483,0.02099
1.5,0.65708,0.95479,0.00099,0.38714,0.96432,0.53093,0.43521,0.06954,0.50015,0.42017,0.75976,0.31992,0.38094,0.58539,0.96475,0.06892,0.12099,0.6341,0.2933,0.95161,0.4452,0.19915,0.44995,0.9057,0.99035,0.02009,0.2359,0.75366,0.37792,0.89931,0.10137,0.6214,0.25547,0.70393,0,0.0406,0.81995,0.05596,0.12396,0.00013,0.3283,0.21692,0.33247,0.12231,0.03368,0.17242,0.7935,0.0004,0.00624,0.10036,0.04937,0.84403,0.19182,0.10402,0.21897,0.48519,0.86339,0.0004,0.00035,0.13586,0.05903,0.68925,0.00449,0.24723,0.40161,0.25086,0.00099,0.34654,0.14437,0.47497,0.31125,0.06941,0.17185,0.20325,0.42729,0.19761,0.34726,0.41297,0.17125,0.06852,0.11475,0.53374,0.24393,0.10758,0.25338,0.09513,0.23098,0.42051,0.12696,0.01969,0.23555,0.6178,0.31889,0.21006,0.09688,0.37417,0.34025,0.04037,0.01113,0.60825,0.0158,0.41341,0.39164,0.17915,0.23754,0.20122,0.24024,0.321,0.55363,0.2841,0.02093,0.14134,0.06949,0.20753,0.68075,0.04223,0.39507,0.24173,0.2689,0.0943,0.00774,0.31784,0.43643,0.23799,0.54289,0.06042,0.1549,0.24179,0.00267,0.00484,0.98788,0.00461,0.01988,0.05566,0.17315,0.75131,0.26231,0.37861,0,0.35908,0.06543,0.13051,0.01432,0.78974,0.80952,0.15837,0.02595,0.00616,0.15973,0.55912,0.28115,0,0.00191,0.66207,0.32767,0.00835,0.07919,0.04027,0.74373,0.13681,0.0151,0.07225,0,0.00658,0.07299,0.00554,0.00755,0.00052,0.04694,0.00972,0.00597,0.00138,0.00183,0.02381,0.11967,0.00076,0.0001,0.05823,0.00575,0.14943,0.0112,0.00435,0.01453,0.01464,0.24781,0.00022,0.00362,0.01804,0.00067,0.07058,0.00125,0.02174
2,0.70924,0.99151,0,0.29925,0.99916,0.57876,0.37672,0.04536,0.77405,0.164,0.75519,0.30676,0.44615,0.51286,1,0.04099,0.13935,0.67345,0.19543,0.99177,0.3277,0,0.75862,0.91368,1,0.01713,0.30418,0.67869,0.42265,1,0.08912,0.48823,0.17704,0.75673,0,0.06623,0.82096,0.12374,0.05495,0.00035,0.5729,0,0.36082,0.06628,0.00008,0,0.99992,0,0.01311,0,0.13796,0.84893,0.1958,0,0.54603,0.25817,0.99515,0,0,0.00485,0.01166,0.98834,0,0,0.5322,0.23478,0,0.23302,0.1782,0.45502,0.32177,0.04501,0.20115,0.164,0.39437,0.24048,0.44607,0.51286,0.00008,0.04099,0.12624,0.67345,0.05747,0.14284,0.1319,0,0.21259,0.65551,0.00485,0.01713,0.30418,0.67384,0.41099,0.01166,0.08912,0.48823,0.29076,0.00849,0.00266,0.69809,0.00084,0.3669,0.51549,0.11677,0.22498,0.29891,0.24481,0.2313,0.4949,0.35534,0,0.14976,0.05486,0.1324,0.80451,0.00823,0.60422,0.06808,0.24138,0.08632,0,0.31981,0.37027,0.30992,0.48334,0,0.25671,0.25995,0,0,0.99734,0.00266,0,0.05434,0.10779,0.83787,0.00097,0.53709,0,0.46194,0.05895,0.1318,0,0.80925,0.80579,0.19415,0.00006,0,0.06808,0.93192,0,0,0,0.66306,0.32555,0.01139,0.09401,0,0.65417,0.25182,0.01607,0.05723,0,0.00545,0.06282,0.00602,0.00562,0.0004,0.06528,0.00223,0.00643,0.0011,0.00177,0.01409,0.13269,0.0005,0.0002,0.05919,0.00487,0.13658,0.00953,0,0.0254,0.01278,0.26002,0.00015,0.00462,0.01281,0.00065,0.08195,0.00101,0.01254
3,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.06064,0,0.01542,0.09399,0,0.01238,0,0.13119,0,0.00331,0,0.00286,0,0.12131,0,0,0,0.01932,0.13534,0,0,0.02849,0.01426,0.26399,0,0,0.02126,0,0.06613,0.01011,0
