date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2022-11-29,1908,FIFA World Cup,Ecuador,Senegal,74.37,73.23,0.3469,0.3217,0.3314,1.05,1.0,,,,,,,,
2022-11-29,1908,FIFA World Cup,Iran,USA,63.33,72.63,0.2579,0.4457,0.2963,0.99,1.39,,,,,,,,
2022-11-29,1908,FIFA World Cup,Wales,England,67.64,86.26,0.1592,0.5875,0.2534,0.79,1.76,,,,,,,,
2022-11-30,1908,FIFA World Cup,Australia,Denmark,58.65,78.87,0.1567,0.5858,0.2575,0.76,1.72,,,,,,,,
2022-11-30,1908,FIFA World Cup,Tunisia,France,66.48,89.25,0.123,0.6343,0.2428,0.64,1.8,,,,,,,,
2022-11-30,1908,FIFA World Cup,Saudi Arabia,Mexico,59.01,73.48,0.2003,0.5085,0.2912,0.81,1.46,,,,,,,,
2022-11-30,1908,FIFA World Cup,Poland,Argentina,68.14,86.09,0.1556,0.5842,0.2602,0.74,1.7,,,,,,,,
2022-12-01,1908,FIFA World Cup,Croatia,Belgium,78.46,80.54,0.3507,0.3651,0.2842,1.32,1.35,,,,,,,,
2022-12-01,1908,FIFA World Cup,Canada,Morocco,73.84,74.67,0.3269,0.3597,0.3134,1.09,1.16,,,,,,,,
2022-12-01,1908,FIFA World Cup,Costa Rica,Germany,51.99,88.73,0.0509,0.8177,0.1315,0.56,2.76,,,,,,,,
2022-12-01,1908,FIFA World Cup,Japan,Spain,71.98,91.22,0.1193,0.6604,0.2203,0.71,2.01,,,,,,,,
2022-12-02,1908,FIFA World Cup,Ghana,Uruguay,60.03,79.7,0.1503,0.5636,0.2861,0.63,1.49,,,,,,,,
2022-12-02,1908,FIFA World Cup,South Korea,Portugal,66.44,87.3,0.1431,0.6103,0.2466,0.74,1.8,,,,,,,,
2022-12-02,1908,FIFA World Cup,Cameroon,Brazil,63.62,93.66,0.0352,0.8107,0.1541,0.29,2.26,,,,,,,,
2022-12-02,1908,FIFA World Cup,Serbia,Switzerland,74.55,77.52,0.3134,0.3924,0.2943,1.16,1.33,,,,,,,,
