forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-25 20:53:09 UTC,Brazil,G,93.65727,3.15479,0.26042,2.44255,0.39838,0.15907,5.06335,6.02009,0.95674,0.85255,0.13001,0.01625,0.00119,0.98256,0.76012,0.50471,0.3744,0.24985,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Spain,E,91.2188,2.95544,0.34936,2.08964,0.49228,0.41808,8.54915,10.61549,2.06634,0.74843,0.1531,0.09771,0.00076,0.90153,0.66268,0.34906,0.24143,0.14769,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,France,D,89.25241,2.94006,0.46965,2.14292,0.51302,0.34406,4.75288,7.35064,2.59776,0.76754,0.16256,0.0645,0.0054,0.9301,0.66202,0.40921,0.22592,0.11378,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Portugal,H,87.30309,2.80698,0.52026,2.01056,0.55879,0.43065,2.24969,6.05044,3.80075,0.66932,0.20673,0.11239,0.01156,0.87605,0.49558,0.2876,0.1585,0.07495,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,England,B,85.40758,2.54769,0.48612,1.5996,1.2572,0.1432,4.98858,7.68542,2.69684,0.82134,0.17794,0.00072,0.0,0.99928,0.59824,0.3079,0.1532,0.06893,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Netherlands,A,84.3837,2.59307,0.56564,1.69734,1.18711,0.11555,3.49321,5.36224,1.86903,0.68956,0.29337,0.01707,0.0,0.98293,0.58778,0.32853,0.12642,0.05839,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Argentina,C,86.09354,2.57779,0.466,1.09358,0.55167,1.35475,0.56696,4.10226,3.5353,0.23671,0.30986,0.22639,0.22704,0.54657,0.31368,0.19357,0.09468,0.04836,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Germany,E,88.72557,3.21022,0.6427,1.09,0.3931,1.5169,0.71066,4.97801,4.26735,0.03525,0.29104,0.59166,0.08205,0.32629,0.21296,0.11935,0.06897,0.03461,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Belgium,F,80.53709,2.52178,0.72241,1.76977,0.57325,0.65698,1.23801,3.73442,2.49641,0.53591,0.24167,0.17425,0.04817,0.77758,0.33855,0.14101,0.06364,0.02369,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Denmark,D,78.86992,2.17826,0.5851,0.76506,1.54491,0.69003,0.16071,2.56128,2.40057,0.15603,0.41296,0.2973,0.13371,0.56899,0.32639,0.16083,0.05646,0.02325,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Uruguay,H,79.70107,2.11082,0.5055,0.81636,1.58851,0.59513,0.4438,2.43048,1.98668,0.19992,0.36749,0.29589,0.1367,0.56741,0.21548,0.10235,0.05231,0.02225,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Ecuador,A,75.81562,1.93859,0.56118,1.36758,1.33806,0.29436,2.13952,4.04499,1.90547,0.22221,0.49399,0.2838,0.0,0.7162,0.3223,0.13937,0.04996,0.0184,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Switzerland,G,77.52036,2.16944,0.64044,1.51139,0.53378,0.95483,-0.00232,2.95142,2.95374,0.13218,0.54238,0.29767,0.02777,0.67456,0.27496,0.11932,0.05148,0.018,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Croatia,F,78.46106,2.16026,0.59205,0.75743,1.58694,0.65563,0.20928,2.59425,2.38497,0.22825,0.29006,0.2751,0.20659,0.51831,0.21215,0.08555,0.04059,0.0166,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Japan,E,71.98065,2.03674,0.79447,1.73679,0.48729,0.77592,0.84748,4.49926,3.65178,0.21544,0.53259,0.24477,0.0072,0.74803,0.31903,0.10607,0.04243,0.01428,2022-11-25 20:54:34 UTC
2022-11-25 20:53:09 UTC,Mexico,C,73.47596,1.89685,0.63005,0.66334,1.59096,0.7457,-0.16985,2.14368,2.31353,0.20202,0.22085,0.30991,0.26722,0.42287,0.17226,0.07611,0.02485,0.00919,2022-11-25 20:54:34 UTC
